date,eur_cad_rate
21-08-2001,1.411997
22-08-2001,1.42129
23-08-2001,1.409335
24-08-2001,1.409458
27-08-2001,1.407653
28-08-2001,1.403641
29-08-2001,1.405483
30-08-2001,1.405213
31-08-2001,1.414945
03-09-2001,1.412757
04-09-2001,1.407158
05-09-2001,1.38509
06-09-2001,1.379237
07-09-2001,1.394046
10-09-2001,1.420716
11-09-2001,1.40364
12-09-2001,1.422464
13-09-2001,1.416513
14-09-2001,1.421685
17-09-2001,1.440663
18-09-2001,1.451942
19-09-2001,1.457459
20-09-2001,1.454995
21-09-2001,1.45637
24-09-2001,1.43747
25-09-2001,1.439716
26-09-2001,1.449609
27-09-2001,1.451424
28-09-2001,1.449984
01-10-2001,1.437087
02-10-2001,1.443838
03-10-2001,1.438885
04-10-2001,1.43323
05-10-2001,1.439182
08-10-2001,1.435649
09-10-2001,1.437826
10-10-2001,1.429863
11-10-2001,1.427651
12-10-2001,1.412346
15-10-2001,1.424167
16-10-2001,1.414943
17-10-2001,1.420851
18-10-2001,1.417638
19-10-2001,1.425473
22-10-2001,1.415682
23-10-2001,1.406646
24-10-2001,1.399001
25-10-2001,1.406533
26-10-2001,1.404428
29-10-2001,1.407332
30-10-2001,1.424099
31-10-2001,1.427161
01-11-2001,1.428911
05-11-2001,1.436544
06-11-2001,1.431002
07-11-2001,1.42795
08-11-2001,1.435342
09-11-2001,1.427808
13-11-2001,1.434025
14-11-2001,1.402926
15-11-2001,1.407053
16-11-2001,1.399293
19-11-2001,1.405878
20-11-2001,1.395363
21-11-2001,1.407449
22-11-2001,1.407943
23-11-2001,1.405056
26-11-2001,1.403623
27-11-2001,1.40916
28-11-2001,1.407368
29-11-2001,1.40541
30-11-2001,1.403404
03-12-2001,1.409982
04-12-2001,1.404102
05-12-2001,1.398884
06-12-2001,1.396033
07-12-2001,1.407935
10-12-2001,1.402691
11-12-2001,1.405229
12-12-2001,1.405356
13-12-2001,1.407085
14-12-2001,1.399843
17-12-2001,1.408815
18-12-2001,1.41429
19-12-2001,1.420558
20-12-2001,1.419176
21-12-2001,1.421731
24-12-2001,1.408435
26-12-2001,1.405682
27-12-2001,1.408504
28-12-2001,1.410689
31-12-2001,1.406901
02-01-2002,1.416138
03-01-2002,1.442469
04-01-2002,1.434884
07-01-2002,1.429762
08-01-2002,1.426906
09-01-2002,1.425129
10-01-2002,1.424857
11-01-2002,1.424322
14-01-2002,1.430957
15-01-2002,1.425324
16-01-2002,1.415857
17-01-2002,1.409479
18-01-2002,1.420295
21-01-2002,1.431903
22-01-2002,1.424966
23-01-2002,1.425453
24-01-2002,1.406685
25-01-2002,1.408136
28-01-2002,1.391025
29-01-2002,1.382082
30-01-2002,1.377066
31-01-2002,1.367357
01-02-2002,1.368099
04-02-2002,1.369321
05-02-2002,1.389898
06-02-2002,1.38739
07-02-2002,1.393142
08-02-2002,1.392236
11-02-2002,1.390834
12-02-2002,1.394498
13-02-2002,1.395117
14-02-2002,1.384862
15-02-2002,1.391308
18-02-2002,1.387979
19-02-2002,1.385944
20-02-2002,1.393413
21-02-2002,1.381621
22-02-2002,1.383822
25-02-2002,1.396495
26-02-2002,1.391335
27-02-2002,1.389948
28-02-2002,1.392255
01-03-2002,1.391658
04-03-2002,1.377374
05-03-2002,1.382947
06-03-2002,1.384871
07-03-2002,1.385753
08-03-2002,1.397244
11-03-2002,1.387435
12-03-2002,1.386337
13-03-2002,1.388196
14-03-2002,1.396638
18-03-2002,1.394263
19-03-2002,1.39991
20-03-2002,1.398647
21-03-2002,1.398044
22-03-2002,1.392367
25-03-2002,1.382188
26-03-2002,1.390135
27-03-2002,1.394989
28-03-2002,1.391687
29-03-2002,1.390964
01-04-2002,1.392298
02-04-2002,1.408616
03-04-2002,1.401052
04-04-2002,1.399997
05-04-2002,1.398695
08-04-2002,1.395999
09-04-2002,1.395059
10-04-2002,1.405094
11-04-2002,1.401387
12-04-2002,1.402213
15-04-2002,1.395142
16-04-2002,1.39582
17-04-2002,1.395659
18-04-2002,1.402123
19-04-2002,1.403791
22-04-2002,1.399001
23-04-2002,1.397918
24-04-2002,1.397648
25-04-2002,1.398739
26-04-2002,1.405909
29-04-2002,1.407638
30-04-2002,1.41649
01-05-2002,1.411467
02-05-2002,1.413906
03-05-2002,1.411604
06-05-2002,1.432713
07-05-2002,1.439409
08-05-2002,1.432434
09-05-2002,1.420705
10-05-2002,1.422752
13-05-2002,1.421152
14-05-2002,1.41742
15-05-2002,1.406665
16-05-2002,1.409854
17-05-2002,1.418214
20-05-2002,1.422662
21-05-2002,1.419659
22-05-2002,1.415542
23-05-2002,1.418788
24-05-2002,1.414503
27-05-2002,1.411188
28-05-2002,1.412016
29-05-2002,1.421385
30-05-2002,1.435328
31-05-2002,1.436599
04-06-2002,1.435497
05-06-2002,1.43874
06-06-2002,1.438958
07-06-2002,1.451539
10-06-2002,1.44786
11-06-2002,1.453064
12-06-2002,1.457347
13-06-2002,1.450162
14-06-2002,1.451133
17-06-2002,1.461176
18-06-2002,1.459896
19-06-2002,1.471018
20-06-2002,1.474933
21-06-2002,1.474078
24-06-2002,1.474582
25-06-2002,1.47602
26-06-2002,1.484129
27-06-2002,1.491806
28-06-2002,1.494199
01-07-2002,1.504228
02-07-2002,1.503458
03-07-2002,1.50678
04-07-2002,1.502288
05-07-2002,1.495527
09-07-2002,1.507038
10-07-2002,1.503534
11-07-2002,1.504763
12-07-2002,1.50635
15-07-2002,1.52247
17-07-2002,1.546359
18-07-2002,1.554946
19-07-2002,1.560609
22-07-2002,1.557059
23-07-2002,1.574408
24-07-2002,1.568335
25-07-2002,1.566314
26-07-2002,1.57446
30-07-2002,1.543939
31-07-2002,1.548836
01-08-2002,1.548061
02-08-2002,1.565665
05-08-2002,1.564055
06-08-2002,1.566383
07-08-2002,1.530924
08-08-2002,1.536712
09-08-2002,1.527624
12-08-2002,1.528193
13-08-2002,1.541058
14-08-2002,1.54153
15-08-2002,1.53055
16-08-2002,1.531174
19-08-2002,1.535623
20-08-2002,1.535996
21-08-2002,1.534994
22-08-2002,1.523517
23-08-2002,1.51022
26-08-2002,1.513638
27-08-2002,1.510876
28-08-2002,1.527417
29-08-2002,1.526635
30-08-2002,1.535832
02-09-2002,1.530721
03-09-2002,1.532596
04-09-2002,1.547267
05-09-2002,1.556526
06-09-2002,1.55789
09-09-2002,1.530202
11-09-2002,1.530005
12-09-2002,1.536656
13-09-2002,1.556916
16-09-2002,1.53635
17-09-2002,1.530505
18-09-2002,1.541604
19-09-2002,1.541367
20-09-2002,1.553873
23-09-2002,1.542561
24-09-2002,1.54561
25-09-2002,1.547829
26-09-2002,1.542656
27-09-2002,1.538189
30-09-2002,1.548865
01-10-2002,1.561711
02-10-2002,1.553505
03-10-2002,1.566976
04-10-2002,1.572023
07-10-2002,1.560007
08-10-2002,1.567608
09-10-2002,1.563419
10-10-2002,1.581433
11-10-2002,1.566986
14-10-2002,1.566431
15-10-2002,1.565382
16-10-2002,1.555591
17-10-2002,1.553413
18-10-2002,1.524821
22-10-2002,1.522495
23-10-2002,1.526674
24-10-2002,1.526443
25-10-2002,1.53055
28-10-2002,1.531954
29-10-2002,1.534556
30-10-2002,1.536512
31-10-2002,1.54027
05-11-2002,1.551454
06-11-2002,1.555809
07-11-2002,1.557128
08-11-2002,1.570284
11-11-2002,1.586165
12-11-2002,1.585553
13-11-2002,1.596751
14-11-2002,1.588892
15-11-2002,1.584524
18-11-2002,1.598523
19-11-2002,1.600658
20-11-2002,1.588921
21-11-2002,1.587406
22-11-2002,1.582691
25-11-2002,1.571534
26-11-2002,1.560334
27-11-2002,1.563859
28-11-2002,1.557346
29-11-2002,1.563872
02-12-2002,1.5562
03-12-2002,1.547335
04-12-2002,1.548743
05-12-2002,1.561171
06-12-2002,1.56608
11-12-2002,1.573897
12-12-2002,1.568434
13-12-2002,1.583365
16-12-2002,1.597883
17-12-2002,1.59679
18-12-2002,1.592684
20-12-2002,1.594783
27-12-2002,1.615647
30-12-2002,1.638477
31-12-2002,1.651026
03-01-2003,1.623801
06-01-2003,1.630129
07-01-2003,1.629033
08-01-2003,1.627031
09-01-2003,1.63845
10-01-2003,1.627408
13-01-2003,1.630314
14-01-2003,1.625463
15-01-2003,1.627117
16-01-2003,1.621526
17-01-2003,1.629951
21-01-2003,1.6366
22-01-2003,1.642825
23-01-2003,1.642656
28-01-2003,1.652086
29-01-2003,1.654977
30-01-2003,1.650191
31-01-2003,1.648811
03-02-2003,1.635665
04-02-2003,1.63277
05-02-2003,1.646924
06-02-2003,1.640367
07-02-2003,1.644092
08-02-2003,1.644092
09-02-2003,1.644092
10-02-2003,1.646444
11-02-2003,1.638722
12-02-2003,1.641969
13-02-2003,1.639607
14-02-2003,1.644493
15-02-2003,1.644493
16-02-2003,1.644493
17-02-2003,1.634792
18-02-2003,1.630972
19-02-2003,1.622008
20-02-2003,1.625205
21-02-2003,1.628923
22-02-2003,1.628923
23-02-2003,1.628923
24-02-2003,1.613374
25-02-2003,1.611062
26-02-2003,1.607263
27-02-2003,1.610234
28-02-2003,1.610234
01-03-2003,1.610234
02-03-2003,1.610234
03-03-2003,1.602403
04-03-2003,1.616477
05-03-2003,1.610413
06-03-2003,1.613793
07-03-2003,1.613793
08-03-2003,1.613793
09-03-2003,1.613793
10-03-2003,1.615203
11-03-2003,1.619111
12-03-2003,1.625529
13-03-2003,1.625529
14-03-2003,1.601579
15-03-2003,1.601579
16-03-2003,1.601579
17-03-2003,1.601579
18-03-2003,1.601579
19-03-2003,1.568565
20-03-2003,1.568399
21-03-2003,1.570378
22-03-2003,1.570378
23-03-2003,1.570378
24-03-2003,1.570378
25-03-2003,1.576803
26-03-2003,1.576803
27-03-2003,1.576803
28-03-2003,1.564527
29-03-2003,1.564527
30-03-2003,1.564527
31-03-2003,1.590196
01-04-2003,1.603681
02-04-2003,1.612998
03-04-2003,1.582857
04-04-2003,1.584642
05-04-2003,1.584642
06-04-2003,1.584642
07-04-2003,1.584642
08-04-2003,1.575691
09-04-2003,1.575691
10-04-2003,1.579356
11-04-2003,1.569039
12-04-2003,1.569039
13-04-2003,1.569039
14-04-2003,1.55995
15-04-2003,1.567703
16-04-2003,1.564667
17-04-2003,1.564667
18-04-2003,1.564667
19-04-2003,1.564667
20-04-2003,1.564667
21-04-2003,1.564667
22-04-2003,1.581731
23-04-2003,1.587117
24-04-2003,1.587117
25-04-2003,1.587117
26-04-2003,1.587117
27-04-2003,1.587117
28-04-2003,1.597434
29-04-2003,1.597434
30-04-2003,1.598978
01-05-2003,1.597243
02-05-2003,1.597243
03-05-2003,1.597243
04-05-2003,1.597243
05-05-2003,1.597243
06-05-2003,1.588561
07-05-2003,1.59214
08-05-2003,1.584154
09-05-2003,1.603758
10-05-2003,1.603758
11-05-2003,1.603758
12-05-2003,1.604478
13-05-2003,1.605105
14-05-2003,1.598908
15-05-2003,1.577583
16-05-2003,1.573175
17-05-2003,1.573175
18-05-2003,1.573175
19-05-2003,1.594397
20-05-2003,1.579049
21-05-2003,1.579299
22-05-2003,1.580324
23-05-2003,1.602909
24-05-2003,1.625167
25-05-2003,1.625167
26-05-2003,1.624964
27-05-2003,1.626934
28-05-2003,1.626934
29-05-2003,1.626462
30-05-2003,1.628926
31-05-2003,1.628926
01-06-2003,1.616129
02-06-2003,1.608093
03-06-2003,1.610325
04-06-2003,1.600354
05-06-2003,1.584107
06-06-2003,1.591153
07-06-2003,1.591153
08-06-2003,1.591153
09-06-2003,1.591153
10-06-2003,1.591656
11-06-2003,1.591069
12-06-2003,1.587113
13-06-2003,1.586309
14-06-2003,1.586309
15-06-2003,1.586309
16-06-2003,1.583969
